Application Number,Geographical Indications,Status,Applicant Name,Applicant Address,Date of Filing,Class,Goods,Geographical Area,Priority Country,Journal Number,Availability Date,Certificate Number,Certificate Date,Registration Valid Upto
1,Darjeeling Tea (Word),Registered,Tea Board,"Tea Board
14, B.T.M. Sarani (Brabourne Road),
P.O.Box No.2172,
Kolkatta - 700 001, India.",27-10-2003,30,Agriculture,Darjeeling (West Bengal),India,1,01-07-2004,1,29-10-2004,26-10-2023
2,Darjeeling Tea (Logo) Connected with GI 1,Merged,Tea Board,"Tea Board
14, B.T.M. Sarani (Brabourne Road),
P.O.Box No.2172,
Kolkatta - 700 001",27-10-2003,30,Agriculture,Darjeeling (West Bengal),India,1,07-01-2004,2,29-10-2004,26-10-2023
3,Aranmula Kannadi,Registered,Viswabrahmana Aranmula Metal Mirror Nirman Society,"Viswabrahmana Aranmula Metal Mirror Nirman Society,
Viswabrahmana Buildings. S. Fort, Aranmula, Kerala - 689 533, India.",08-12-2003,20,Handicraft,Kerala,India,3,22-11-2004,10,19-09-2005,07-12-2023
4,Pochampally Ikat,Registered,"Pochampally Handloom Weavers Co-op Society Ltd.,","Pochampally Handloom Weavers Co-op Society Ltd.,  Pochampally Handloom Tie & Dye Silk Sarees Manufacturers Association,  Post & Mandal Pochampally,  District Nalgonda–508 284.  Andhra Pradesh, Nalgonda, , India, 508284",15-12-2003,"24, 25 & 27",Handicraft,Telangana,India,2,09-03-2004,3,31-12-2004,14-12-2023
5,Salem Fabric,Registered,Salem Exporters Association,"Salem Exporters Association,
108, Sivanar Main Road,
Gugai, Salem – 636 006",12-02-2004,24,Handicraft,Tamil Nadu,India,6,06-06-2005,11,19-09-2005,11-02-2014
6,Payyannur Pavithra Ring,Registered,Proprietor name removed by Honorable IPAB Chennai,Appeal OA/2/2010/GI/CH and M.P. Nos. 1/2010 & 269/2012 in OA/2/2010/GO/CH,23-02-2004,14,Handicraft,Kerala,INDIA,7,07-09-2005,144,22-10-2010,22-02-2014
7,Chanderi Sarees,Registered,Chanderi Development Foundation,"Chanderi Development Foundation, Old Telephone Exchange Building, Rajghat Road, Chanderi, Madhya Pradesh, India.",02-04-2004,24,Textile,Madhya Pradesh,India,2,09-03-2004,4,28-01-2005,01-04-2024
8,Solapur Chaddar,Registered,Textile Development Foundation,"Textile Development Foundation,
79, Jodbasavanna Chowk, Raviwar Peth,
Solapur – 413 005",05-04-2004,24,Handicraft,Maharashtra,India,6,06-06-2005,12,19-09-2005,04-04-2024
9,Solapur Terry Towel,Registered,Textile Development Foundation,"Textile Development Foundation,
79, Jodbasavanna Chowk, Raviwar Peth,
Solapur – 413 005",20-05-2004,24,Handicraft,Maharashtra,India,6,06-06-2005,13,19-09-2005,19-05-2024
10,Kotpad Handloom fabric,Registered,The Orissa State Handloom Weavers Co-op. Society Ltd,"The Orissa State Handloom Weavers Co-op. Society Ltd.,(BOYANIKA)
Pandit Jawaharlal Nehru Marg, 
Bhubaneswar - 751001, Orissa.",10-06-2004,24,Handicraft,Odisha,India,4,10-02-2004,5,06-02-2005,09-06-2024
11,Mysore Silk,Registered,Karnataka Silk Industries Corporation Limited,"Karnataka Silk Industries Corporation Limited,
(A Government of Karnataka Enterprise), 
III & IV Floor, Public Utility Building,
M.G. Road, Bangalore – 560 001, Karnataka, India.",22-07-2004,"23,24 & 25",Handicraft,Karnataka,India,3,22-11-2004,14,28-11-2005,21-07-2024
12,Kota Doria,Registered,Kota Doria Development Hadauti Foundation (KDHF),"Kota Doria Development Hadauti Foundation (KDHF),  Sadar Bazaar, Kaithun,  District Kota, Rajasthan, Kota, Rajasthan, INDIA,",22-07-2004,24 & 25,Handicraft,Rajasthan,India,5,30-03-2005,8,05-07-2005,21-07-2024
13,Mysore Agarbathi,Registered,All India Agarbathi Manufacturers Association,"All India Agarbathi Manufacturers Association,  FKCCI Building, Kempgowda Road, Bangalore – 560 009, Bangalore, Karnataka, INDIA, 560 009",11-08-2004,3,Manufactured,Karnataka,India,4,10-02-2005,7,02-06-2005,10-08-2024
14,Basmati Rice,Refused,M/s. Heritage,"M/s. Heritage, Shop No. 127, New Anaj Mandi, Tarorari, District Karnal – 132116, Haryana, India.",19-08-2004,30,Agricultural,Haryana / Punjab,India,,,,,
15,Kancheepuram Silk,Registered,Department of Handlooms and Textiles,"Department of Handlooms and Textiles, 
(Government of Tamilnadu)
Kuralagam IInd Floor,
Chennai – 600 018, India.",07-10-2004,24 & 25,Handicraft,Tamil Nadu,India,4,10-02-2005,6,02-06-2005,06-10-2024
16,Bhavani Jamakkalam,Registered,Department of Handlooms and Textiles,"Department of Handlooms and Textiles, 
(Government of Tamilnadu)
Kuralagam IInd Floor,
Chennai – 600 018",25-10-2004,"24, 27",Textile & Textile Goods,Tamil Nadu,India,5,30-03-2005,9,05-07-2005,24-10-2024
17,Navara Rice,Registered,Navara Rice Farmers Society,"Karukamanikalam, Chittur College, P.O., Palakkad – 678 104, , Palakkad , Kerala, INDIA, 678 104",25-11-2004,30,Agriculture,Kerala,India,17,20-06-2007,40,23-11-2007,24-11-2024
18,Mysore Agarbathi (logo) ( Connected with GI 13),Merged,All India Agarbathi Manufacturers Association,"All India Agarbathi Manufacturers Association,
FKCCI Building, Kempgowda Road, Bangalore – 560 009",25-11-2004,3,Manufactured,Karnataka,India,4,10-02-2005,7,02-06-2005,24-11-2024
19,Kullu Shawl,Registered,H.P. Patent Information Centre,"State Council of Science, Technology & Environment,   B-34, SDA Complex, Kasumpti, Shimla – 171009, Shimla, Himachal Pradesh, INDIA, 171009",10-12-2004,24,Handicraft,Himachal Pradesh,India,7,07-09-2005,15,12-12-2005,09-12-2024
20,Bidriware,Registered,Karnataka State Handicrafts Development Corporation Limited,"Karnataka State Handicrafts Development Corporation Limited,
45, Mahatma Gandhi Road, 
Bangalore - 560 001",24-01-2005,6,Handicraft,Karnataka,India,10,21-10-2005,21,30-01-2006,23-01-2025
21,Madurai Sungudi,Registered,Department of Handlooms and Textiles,"Department of Handlooms and Textiles, 
(Government of Tamilnadu)
Kuralagam IInd Floor,
Chennai – 600 018",24-01-2005,24 & 25,Handicraft,Tamil Nadu,India,7,07-09-2005,16,12-12-2005,23-01-2025
22,Orissa Ikat,Registered,The Orissa State Handloom Weavers Co-op. Society Ltd.,"The Orissa State Handloom Weavers Co-op. Society Ltd., (BOYANIKA), Pandit Jawaharlal Nehru Marg, Bhubaneswar – 751001, Orissa, India.",01-02-2005,"23, 24 & 25",Handicraft,Odisha,India,12,21-01-2006,29,07-06-2006,31-01-2025
23,Channapatna Toys & Dolls,Registered,Karnataka State Handicrafts Development Corporation Limited,"Karnataka State Handicrafts Development Corporation Limited,  45, Mahatma Gandhi Road,   Bangalore - 560 001, Bangalore, Karnataka, INDIA, 560 001",07-02-2005,28,Handicraft,Karnataka,India,10,21-10-2005,22,30-01-2006,06-02-2025
24,Mysore Rosewood Inlay,Registered,Karnataka State Handicrafts Development Corporation Limited,"Karnataka State Handicrafts Development Corporation Limited,  45, Mahatma Gandhi Road,   Bangalore - 560 001, Bangalore, Karnataka, INDIA, 560 001",07-02-2005,"19, 20, 27 & 28",Handicraft,Karnataka,India,11,21-10-2005,24,30-01-2006,06-02-2025
25,Kangra Tea,Registered,H.P. Patent Information Centre,"H.P. Patent Information Centre,  State Council of Science, Technology & Environment,   B-34, SDA Complex, Kasumpti, Shimla – 171009, Shimla, Kashmir, INDIA, 171009",11-02-2005,30,Agriculture,Himachal Pradesh,India,7,07-09-2005,17,12-12-2005,10-02-2025
26,Coimbatore Wet Grinder,Registered,Coimbatore Wet Grinders & Accessories Manufacturers Association,"Coimbatore Wet Grinders & Accessories Manufacturers Association,
133, Katoor Street, P.N.Palayam, Coimbatore – 641 037, Email: cowmawetgrinders@gmail.com, phone: 0422-2242283, 2240803",14-03-2005,7,Manufactured,Tamil Nadu,India,10,21-10-2005,23,30-01-2006,13-03-2025
27,Phulkari,Registered,Punjab Small Industries & Export Corporation Ltd.,"Punjab Small Industries & Export Corporation Ltd., 18, Himalaya Marg, Udyog Bhawan, Sector-17, Chandigarh",14-03-2005,26,Embroidery,"India (Punjab, Haryana & Rajasthan)",India,12,21-01-2006,145,22-10-2010,13-03-2025
28,Srikalahasthi Kalamkari,Registered,Kalamkari Artisans Revival and Upsurge for National Acclaim (KARUNA),"Kalamkari Artisans Revival and Upsurge for National Acclaim (KARUNA),
Srikalahasti, Chitoor, District, Andhra Pradesh – 517644, India.",16-03-2005,"24, 25 & 27",Handicraft,Andhra Pradesh,India,9,21-10-2005,29,12-01-2006,15-03-2025
29,Mysore Sandalwood Oil,Registered,Karnataka Soaps & Detergents Limited,"Karnataka Soaps & Detergents Limited,
(A Government of Karnataka Enterprise), Sandalwood Oil Division Mysore, Karnataka State – India & Sandalwood Oil Division, Shimoga, Karnataka State",18-03-2005,3,Manufactured,Karnataka,India,9,21-10-2005,27,30-01-2006,17-03-2025
30,Mysore Sandal soap,Registered,Karnataka Soaps & Detergents Limited (A Government of Karnataka Enterprise),"P.B.No.5331, Bangalore Pune High Way, Rajaji Nagar, Bangalore - 560 055, Karnataka, India.",18-03-2005,3,Manufactured,Karnataka,India,9,21-10-2005,28,30-01-2006,17-03-2025
31,Kasuti Embroidery,Registered,Karnataka State Handicrafts Development Corporation Limited,"Karnataka State Handicrafts Development Corporation Limited,  45, Mahatma Gandhi Road,   Bangalore - 560 001, Bangalore, Karnataka, INDIA, 560 001",31-03-2005,26,Handicraft,Karnataka,India,11,21-10-2005,25,30-01-2006,30-03-2025
32,Mysore Traditional Paintings,Registered,Karnataka State Handicrafts Development Corporation Limited,"Karnataka State Handicrafts Development Corporation Limited,  45, Mahatma Gandhi Road,   Bangalore - 560 001, Bangalore, Karnataka, INDIA, 560 001",31-03-2005,16,Handicraft,Karnataka,India,11,21-10-2005,26,30-01-2006,30-03-2025
33,Coorg Orange,Registered,Department of Horticulture,"Department of Horticulture,
Govt. of Karnataka,
Biotechnology Centre, 
Hulimavu, PB No.7648,
Bangalore – 560 076",31-03-2005,31,Agriculture,Karnataka,India,8,21-10-2005,18,30-01-2006,30-03-2025
34,Mysore Betel leaf,Registered,Department of Horticulture,"Department of Horticulture,
Govt. of Karnataka,
Biotechnology Centre, 
Hulimavu, PB No.7648,
Bangalore – 560 076",31-03-2005,31,Agriculture,Karnataka,India,8,21-10-2005,19,30-01-2006,30-03-2025
35,Nanjanagud Banana,Registered,Department of Horticulture,"Department of Horticulture,
Govt. of Karnataka,
Biotechnology Centre, 
Hulimavu, PB No.7648,
Bangalore – 560 076",31-03-2005,31,Agriculture,Karnataka,India,8,21-10-2005,20,30-01-2006,30-03-2025
36,Palakkadan Matta Rice,Registered,Palakkadan Matta Farmers Producer Company Limited,"Palakkadan Matta Farmers Producer Company Limited, Karukamanikalam, Chittur College P.O., Palakkad - 678104",18-04-2005,30,Agriculture,Kerala,India,17,20-06-2007,41,24-09-2007,17-04-2025
37,Madhubani Paintings,Registered,Director of Industries,"Director of Industries, Vikas Bhawan, Department of Industries, Bihar, Patna",22-08-2005,16,Handicraft,Bihar,India,14,06-02-2007,31,16-05-2007,21-08-2025
38,Jamnagar Petrol,Withdrawn,Reliance Industries Limited,"Reliance Industries Limited, Maker Chamber - IV, 3rd Floor, 222, Nariman Point, Mumbai - 400021",15-09-2005,4,Natural,Gujarat,India,,,,,
39,Jamnagar Fuel,Withdrawn,Reliance Industries Limited,"Reliance Industries Limited, Maker Chamber - IV, 3rd Floor, 222, Nariman Point, Mumbai - 400021",15-09-2005,4,Natural,Gujarat,India,,,,,
40,Krishna Godavari Gas,Abandoned,Reliance Industries Limited,"Reliance Industries Limited, Maker Chamber - IV, 3rd Floor, 222, Nariman Point, Mumbai - 400021",15-09-2005,4,Natural,Andhra Pradesh,India,,,,,
41,Jamnagar LPG,Withdrawn,Reliance Industries Limited,"Reliance Industries Limited, Maker Chamber - IV, 3rd Floor, 222, Nariman Point, Mumbai - 400021",15-09-2005,4,Natural,Gujarat,India,,,,,
42,Jamnagar Diesel,Withdrawn,Reliance Industries Limited,"Reliance Industries Limited, Maker Chamber - IV, 3rd Floor, 222, Nariman Point, Mumbai - 400021",15-09-2005,4,Natural,Gujarat,India,,,,,
43,Pisco,Registered,Embassy of Peru,"Embassy of Peru, (Ambassador of Peru to India), C-1/24, Vasant Vihar, New Delhi - 110057 
Email: amaeda@embassyperuindia.in, commercial@embassyperuindia.in, admin@embassyperuindia.in",29-09-2005,33,Manufactured,Peru,Peru,13,18-09-2006,118,19-03-2009,28-09-2025
44,Kondapalli Bommallu,Registered,LIGHT (LANCO Institute of General Humanitarian Trust)  and Kondapalli Wooden Toys Manufacturers,"(i) (LANCO Institute of General Humanitarian Trust), Lanco House, 141, Avenue 8, Road No.2, Banjara Hills, Hyderabad - 500034
(ii) Kondapalli Wooden Toys Manufacturers Mutually Aided Purchase and Sales Cooperative Ltd., Kondapalli, Ibrahimpatnam Mandal.",10-11-2005,"16, 20,27,28",Handicraft,Andhra Pradesh,India,13,18-09-2006,30,12-01-2006,09-11-2025
45,Poddar Diamond,Abandoned,M/s.Poddar Diamond Ltd,"M/s.Poddar Diamond Ltd., 117/212-A, Panchratna, Opera House, Mumbai - 400004",28-11-2005,14,Handicraft,Maharasthra,India,,,,,
46,Kashmir Pashmina,Registered,TAHAFUZ(Registered Under the J & K Societies Act),"TAHAFUZ, (Registered Under the J & K Societies Act, Registration Number : 5611-S/2007) Nowshera, Zadibal, P.O. Nowshera, Distt. Srinagar - 190 011, Jammu & Kashmir., Srinagar , Jammu & Kashmir, INDIA, 190 011",09-12-2005,"23, 24, 25",Handicraft,Jammu & Kashmir,India,13,18-09-2006,97,12-09-2008,08-12-2025
47,Thanjavur Paintings,Registered,Thanjavur Oviya Padhukaapu Sangam,"Thanjavur Oviya Padhukaapu Sangam(Reg Body), 780, Bharathiyar Street, EB Colony, (RMS Colony Via), Thanjavur",04-01-2006,16,Handicraft,Tamil Nadu,India,14,06-02-2007,32,16-05-2007,03-01-2026
48,Kashmir Sozani Craft,Registered,TAHAFUZ,"TAHAFUZ, (Registered Under the J & K Societies Act, Registration Number : 5611-S/2007) Nowshera, Zadibal, P.O. Nowshera, Distt. Srinagar - 190 011, Jammu & Kashmir., Srinagar, Jammu & Kashmir, INDIA, 190 011",19-01-2006,26,Handicraft,Jammu & Kashmir,India,14,06-02-2007,98,27-11-2008,18-01-2026
49,Malabar Pepper,Registered,"Spice Board, Ministry of Commerce & Industry","Spice Board, Ministry of Commerce & Industry, Sugandha Bhavan, N.H. Bye-Pass, P.B. No.2277, Palarivattom, Cochin-25, Kerala, India.",13-02-2006,30,Agriculture,"India (Kerala, Karnataka & Tamilnadu)",India,19,03-10-2007,47,21-01-2008,12-02-2026
50,Allahabad Surkha Guava,Registered,Allahabad Surkha,"Allahabad Surkha (A Mrood Utpadak Welfare Association - Allahabad),
Bankarabad, Bamrolijanpath,
Allahabad",13-02-2006,31,Agriculture,Uttar Pradesh,India,19,03-10-2007,48,28-03-2008,12-02-2026
51,Kani Shawl,Registered,TAHAFUZ,"TAHAFUZ, (Registered Under the J & K Societies Act, Registration Number : 5611-S/2007) Nowshera, Zadibal, P.O. Nowshera, Distt. Srinagar - 190 011, Jammu & Kashmir., Srinagar, Jammu & Kashmir, INDIA, 190 011",13-02-2006,25,Handicraft,Jammu & Kashmir,India,13,13-02-2006,83,27-11-2008,12-02-2026
52,Nakshi Kantha,Registered,"KAARU – KUL FOUNDATION,","KAARU – KUL FOUNDATION, F-463, (Khasra No.316), Gali No.2, Lado Sarat, New Delhi - 110030",07-04-2006,"19, 20, 24 & 25",Handicraft,West Bengal,India,19,03-10-2007,49,21-01-2008,06-04-2026
53,Silver Filigree of Karimnagar,Registered,Karimnagar Silver Filigree Handicrafts Mutually Aided Co-Operative Welfare Society Limited,"Karimnagar Silver Filigree Handicrafts Mutually Aided Co-Operative Welfare Society Limited, No.4-5-38, Fathepura, Karimnagar - 505001, Andhra Pradesh.",28-04-2006,"6, 8, 14, 18, 20, 26 & 28",Handicraft,Telangana,India,14,06-02-2007,33,16-05-2007,27-04-2026
54,Alleppey Coir,Registered,Coir Board,"Coir Board, Ministry of Agro & Rural Industries, Government of India, Coir House, Post Box Number. 1752, M.G Road,Cochin - 682016",03-07-2006,27,Handicraft,Kerala,India,15,06-02-2007,34,16-05-2007,02-07-2026
55,Muga Silk of Assam,Registered,Patent Information Center,"Patent Information Center, Assam Science Technology and Environment Council (ASTEC), 3rd Floor, City Co-operative Building, U.N.B. Road, Silpukhuri, Guwahati - 781 003, Assam, India.",20-07-2006,"23, 24, 25, 27, 31",Handicraft,Assam,India,16,09-04-2007,38,13-07-2007,19-07-2026
56,Tellechery Pepper (Merged With Application No. 49),Merged,Spice Board,"Spice Board, Ministry of Commerce & Industry, Sugandha Bhavan, N.H. Bye-Pass, P.B. No.2277, Palarivattom, Cochin-25",20-07-2006,30,Agriculture,Kerala,India,19,03-10-2007,47,21-01-2008,19-07-2026
57,Brass Broidered Coconut shell crafts of Kerala,Registered,Development Commissioner (Handicrafts),"Development Commissioner (Handicrafts), Ministry of Textiles, Government of India, West Block No.7, R.K. Puram, New Delhi",26-07-2006,20,Handicraft,Kerala,India,Supplementary 1,24-03-2008,73,10-07-2008,25-07-2026
58,Screw Pine Crafts of Kerala,Registered,Development Commissioner (Handicrafts),"Development Commissioner (Handicrafts), Ministry of Textiles, Government of India, West Block No.7, R.K. Puram, New Delhi, India.",26-07-2006,27,Handicraft,Kerala,India,24,21-01-2008,66,22-04-2008,25-07-2026
59,Maddalam of Palakkad (Kerala),Registered,Development Commissioner (Handicrafts),"Development Commissioner (Handicrafts), Ministry of Textiles, Government of India, West Block No.7, R.K. Puram, New Delhi",26-07-2006,15,Handicraft,Kerala,India,24,21-01-2008,65,22-04-2008,25-07-2026
60,Ganjifa cards of Mysore,Registered,Development Commissioner (Handicrafts),"Development Commissioner (Handicrafts), Ministry of Textiles, Government of India, West Block No.7, R.K. Puram, New Delhi, India.",26-07-2006,16,Handicraft,Karnataka,India,20,20-11-2007,50,28-03-2008,25-07-2026
61,Navalgund durries,Registered,Development Commissioner (Handicrafts),"Development Commissioner (Handicrafts), Ministry of Textiles, Government of India, West Block No.7, R.K. Puram, New Delhi",26-07-2006,27,Handicraft,Karnataka,India,20,20-11-2007,51,28-03-2008,25-07-2026
62,Karnataka Bronze Ware,Registered,Development Commissioner (Handicrafts),"Development Commissioner (Handicrafts), Ministry of Textiles, Government of India, West Block No.7, R.K. Puram, New Delhi",26-07-2006,6,Handicraft,Karnataka,India,20,20-11-2007,52,28-03-2008,25-07-2026
63,Thanjavur Art Plate,Registered,Development Commissioner (Handicrafts),"Development Commissioner (Handicrafts), Ministry of Textiles, Government of India, West Block No.7, R.K. Puram, New Delhi, India.",26-07-2006,14,Handicraft,Tamil Nadu,India,17,20-06-2007,42,24-09-2007,25-07-2026
64,Swamimalai Bronze Icons,Registered,Development Commissioner (Handicrafts),"Development Commissioner (Handicrafts), Ministry of Textiles, Government of India, West Block No.7, R.K. Puram, New Delhi.",26-07-2006,6,Handicraft,Tamil Nadu,India,16,09-04-2007,67,22-04-2008,25-07-2026
65,Temple Jewellery of Nagercoil,Registered,Development Commissioner (Handicrafts),"Development Commissioner (Handicrafts), Ministry of Textiles, Government of India, West Block No.7, R.K. Puram, New Delhi, India.",26-07-2006,14,Handicraft,Tamil Nadu,India,16,09-04-2007,39,13-07-2007,25-07-2026
66,Blue Pottery of Jaipur,Registered,Development Commissioner (Handicrafts),"Development Commissioner (Handicrafts), Ministry of Textiles, Government of India, West Block No.7, R.K. Puram, New Delhi, New Delhi, New Delhi, INDIA,",14-08-2006,21,Handicraft,Rajasthan,India,Supp 1,24-03-2008,74,10-07-2008,13-08-2026
67,Molela Clay Work,Registered,Development Commissioner (Handicrafts),"Development Commissioner (Handicrafts), Ministry of Textiles, Government of India, West Block No.7, R.K. Puram, New Delhi",31-08-2006,21,Handicraft,Rajasthan,India,Supplementary I,24-03-2008,75,10-07-2008,30-08-2026
68,Kathputlis of Rajasthan,Registered,Development Commissioner (Handicrafts),"Development Commissioner (Handicrafts), Ministry of Textiles, Government of India, West Block No.7, R.K. Puram, New Delhi, New Delhi, New Delhi, INDIA,",31-08-2006,28,Handicraft,Rajasthan,India,Supplementary 1,24-03-2008,76,10-07-2008,30-08-2026
69,Mysore Malligae,Registered,Director of Horticulture,"Director of Horticulture, Departmtent of Horticulture, Govt. of Karnataka, Biotechnology Centre, Hulimavu, PB No. 7648, Bangalore - 560076",24-07-2006,31,Agriculture,Karnataka,India,15,09-04-2007,35,16-05-2007,23-07-2026
70,Udupi Malligae,Registered,Director of Horticulture,"Director of Horticulture, Deparmtent of Horticulture, Govt. of Karnataka, Biotechnology Centre, Hulimavu, PB No. 7648, Bangalore - 560076",24-07-2006,31,Agriculture,Karnataka,India,15,06-02-2007,36,16-05-2007,23-07-2026
71,Hadagali Malligae,Registered,Director of Horticulture,"Director of Horticulture, Department of Horticulture, Govt. of Karnataka, Biotechnology Center, Hulimavu, PB No. 7648, Bangalore - 560076",24-07-2006,31,Agriculture,Karnataka,India,15,06-02-2007,37,16-05-2007,23-07-2026
72,Alleppey Green Cardamom,Registered,Spices Board,"Spices Board, Ministry of Commerce & Industry, Sugandha Bhavan, N.H. Bye-Pass, P.B. No.2277, Palarivattom, Cochin-25",14-09-2006,30,Agriculture,India (Kerala & Tamilnadu),India,22,24-12-2007,59,28-03-2008,13-09-2026
73,Applique (Khatwa) Work of Bihar,Registered,Development Commissioner (Handicrafts),"Development Commissioner (Handicrafts), Ministry of Textiles, Government of India, West Block No.7, R.K. Puram, New Delhi",21-09-2006,26 & 24,Handicraft,Bihar,India,18,01-06-2007,44,23-11-2007,20-09-2026
74,Sujini Embroidery Work of Bihar,Registered,Development Commissioner (Handicrafts),"Development Commissioner (Handicrafts), Ministry of Textiles, Government of India, West Block No.7, R.K. Puram, New Delhi",21-09-2006,24 & 26,Handicraft,Bihar,India,18,03-08-2007,45,23-11-2007,20-09-2026
75,Sikki Grass Work of Bihar,Registered,Development Commissioner (Handicrafts),"Development Commissioner (Handicrafts), Ministry of Textiles, Government of India, West Block No.7, R.K. Puram, New Delhi",21-09-2006,20,Handicraft,Bihar,India,18,03-08-2007,46,23-11-2007,20-09-2026
76,Ilkal Sarees,Registered,Commissioner for Textile Development & Director of Handlooms & Textiles,"Commissioner for Textile Development & Director of Handlooms & Textiles, Government of Karnataka, No. 14/3A, 3rd Floor, R.P. Building, Nrupatunga Road, Bangalore - 560001, Bangalore, Karnataka, INDIA, 560 001",16-10-2006,24,Handicraft,Karnataka,India,17,20-06-2007,43,24-09-2007,15-10-2026
77,Molakalmuru Sarees,Registered,Commissioner for Textile Development & Director of Handlooms & Textiles,"Commissioner for Textile Development & Director of Handlooms & Textiles, Government of Karnataka, No. 14/3A, 3rd Floor, R.P. Building, Nrupatunga Road, Bangalore - 560001",16-10-2006,24,Handicraft,Karnataka,India,21,20-12-2007,53,28-03-2008,15-10-2026
78,Coorg Green Cardamom,Registered,Spices Board,"Spices Board, Ministry of Commerce & Industry, Sugandha Bhavan, N.H. Bye-Pass, P.B. No.2277, Palarivattom, Cochin-25",27-12-2006,30,Agriculture,Karnataka,India,22,24-12-2007,60,28-03-2008,26-12-2026
79,Chamba Rumal,Registered,Himachal Pradesh Patent Information Centre,"Himachal Pradesh Patent Information Centre,
State Council for Science, Technology & Environment,
B-34, SDA Complex, Kasumpti,
Shimla - 171009",22-01-2007,24,Handicraft,Himachal Pradesh,India,Supp 2,26-05-2008,84,09-09-2008,21-01-2027
80,Dharwad Pedha,Registered,Thakur's Dharwad Pedha Manufacturers' Welfare Trust,"#482, Thakur's Building, (Near Sri Rama Temple), Line Bazar, Dharwad - 580 001.",24-01-2007,29,Food Stuffs,Karnataka,India,Supplementary 2,25-05-2008,85,09-09-2008,23-01-2027
81,Pokkali Rice,Registered,"Kerala Agricultural University,","(i) Kerala Agricultural University, K.A.U. P.O. Thrissur District, Kerala - 680 656
(ii) Pokkali Land Development Agency, N. Paravur, Ernakulam District, Kerala - 683 513.",29-01-2007,30,Agriculture,Kerala,India,Supplementary 2,26-05-2008,86,09-09-2008,28-01-2027
82,Bastar Iron Craft,Registered,Chhattisgarh Hastshilp Vikas Board,"Chhattisgarh Hastshilp Vikas Board, C-35, Ravi Nagar, Raipur, Chhattisgarh",12-03-2007,6 & 21,Handicraft,Chhattisgarh,India,Supp1,24-03-2008,68,10-07-2008,11-03-2027
83,Bastar Dhokra,Registered,Chhattisgarh Hastshilp Vikas Board,"Chhattisgarh Hastshilp Vikas Board, C-35, Ravi Nagar, Raipur, Chhattisgarh",12-03-2007,6 & 21,Handicraft,Chhattisgarh,India,24,21-01-2008,62,22-04-2008,11-03-2027
84,Bastar Wooden Craft,Registered,Chhattisgarh Hastshilp Vikas Board,"Chhattisgarh Hastshilp Vikas Board, C-35, Ravi Nagar, Raipur, Chhattisgarh",12-03-2007,20,Handicraft,Chhattisgarh,India,24,21-01-2008,63,22-04-2008,11-03-2027
85,Monsooned Malabar Arabica Coffee,Registered,Coffee Board,"Coffee Board, No. 1, Dr. Ambedkar Veedhi, Bangalore - 560 001,Karnataka, India.",05-04-2007,30,Agriculture,India (Karnataka & Kerala),India,21,20-12-2007,54,28-03-2008,04-04-2027
86,Pipli Applique Work,Registered,Orissa State Cooperarive Corporation Limited,"Orissa State Cooperarive Corporation Limited, D-2 & 3, Industrial Estate, Rasulgarh, Bhubaneshawar and 17 other Co-operative Societies.",09-04-2007,24,Handicraft,Odisha,India,Supp2,26-05-2008,87,09-09-2008,08-04-2027
87,Konark Stone Carving,Registered,Orissa State Cooperarive Corporation Limited,"Orissa State Cooperarive Corporation Limited, D-2 & 3, Industrial Estate, Rasulgarh, Bhubaneshawar",09-04-2007,19,Handicraft,Odisha,India,Supp 1,24-03-2008,69,10-07-2008,08-04-2027
88,Orissa Pattachitra,Registered,Orissa State Cooperarive Corporation Limited,"Orissa State Cooperarive Corporation Limited, D-2 & 3, Industrial Estate, Rasulgarh, Bhubaneshawar",09-04-2007,24 & 16,Handicraft,Odisha,India,Supp1,24-03-2008,70,10-07-2008,08-04-2027
89,Budithi Bell & Brass Metal Craft,Registered,Sri Vijayadurga Kanchu Ithadi Panivarala Sangham Society,"Sri Vijayadurga Kanchu Ithadi Panivarala Sangham Society, Budhithi Village, Saravakota Mandal, Srikakulam District, Andhra Pradesh - 532 427.",16-04-2007,6,Handicraft,Andhra Pradesh,India,Supp2,26-05-2008,88,09-09-2008,15-04-2017
90,Machilipatnam Kalamkari,Registered,Vegetable Hand-block Kalamkari Printers Association,"Vegetable Hand-block Kalamkari Printers Association, Near Brahmapuram Railway Gate, Agastheswara Puram, Pedana  521 566, Pendana Mandal, Krishna District, Andhra Pradesh, India.",16-04-2007,"24, 25 & 27",Handicraft,Andhra Pradesh,India,Supplementary 1,24-03-2008,71,10-07-2008,15-04-2027
91,Nirmal Toys and Crafts,Registered,Nirmal Toys & Arts Industrial Co-operative Society Ltd,"Nirmal Toys & Arts Industrial Co-operative Society Ltd., Beside Govternment Boys Junior College, Nirmal - 504 106 Dist: Adilabad, Andhra Pradesh, India.",16-04-2007,28,Handicraft,Telangana,India,24,21-01-2008,64,22-04-2008,15-04-2027
92,Arani Silk,Registered,Department of Handlooms and Textiles,"Department of Handlooms and Textiles, Government of Tamil Nadu, Kuralagam II Floor, Chennai - 600 108",25-04-2007,24 & 25,Handicraft,Tamil Nadu,India,23,24-12-2007,58,28-03-2008,24-04-2027
